#,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
,,,,,,,,,,,,,,,,,,,,,
555,Urbas Fuenlabrada,35,40.1,78.1,28.4,62.5,.454,9.0,25.5,.352,12.3,17.4,.711,9.7,20.9,30.7,15.1,5.1,2.3,13.0,23.8
556,Antibes,34,40.1,78.0,29.5,62.5,.472,8.5,23.0,.371,10.5,14.8,.708,9.4,23.3,32.7,16.1,5.4,1.5,12.8,18.8
557,Unieuro Forli,30,40.3,78.0,27.5,64.3,.427,10.0,27.6,.362,13.1,17.4,.751,9.5,22.1,31.5,14.6,6.1,0.8,12.5,20.9
558,Doukas Athens,30,40.4,78.0,27.8,63.1,.441,4.9,18.3,.267,17.5,24.3,.720,11.0,21.6,32.6,15.2,7.0,2.5,13.7,21.0
559,Estudiantes Concordia,60,40.2,78.0,27.8,61.0,.456,8.0,23.9,.336,14.3,21.1,.680,7.5,25.2,32.7,16.4,6.8,1.7,12.9,20.0
560,Monbus Obradoiro,34,40.6,77.9,27.3,61.5,.443,9.7,27.0,.359,13.7,18.4,.748,9.0,22.0,31.0,16.1,5.2,3.4,12.8,22.3
561,BC Khimik,45,40.1,77.9,27.4,62.4,.439,7.3,22.2,.330,15.8,21.4,.739,9.1,22.7,31.8,16.7,6.3,1.9,10.3,20.4
562,Roseto Sharks,30,40.2,77.9,27.3,62.7,.435,8.2,24.5,.334,15.2,20.5,.739,8.3,21.9,30.2,11.3,5.8,0.9,12.9,21.3
563,Bnei Herzelia,43,40.1,77.9,27.2,61.0,.445,8.1,22.7,.356,15.4,21.0,.736,7.7,24.2,31.9,15.1,6.5,2.8,13.5,20.1
564,Akhisar Belediye,35,40.4,77.9,26.9,59.5,.452,8.5,24.3,.350,15.6,21.1,.741,7.0,23.3,30.3,18.0,5.6,1.2,11.9,18.6
565,Kyoto Hannaryz,62,40.1,77.9,27.6,60.7,.455,7.2,20.7,.349,15.4,21.8,.708,9.1,22.8,31.9,17.3,6.1,2.0,12.4,18.0
566,Eisbaren Bremerhaven,34,40.3,77.9,27.8,60.4,.460,8.8,23.8,.371,13.5,18.7,.722,9.0,22.8,31.8,14.5,5.3,2.4,13.8,20.5
567,OpenJobMetis Varese,33,40.7,77.8,28.3,63.5,.445,8.8,25.4,.345,12.5,16.7,.748,10.1,26.2,36.3,15.5,6.6,2.3,13.0,21.2
568,Tezenis Scaligera Verona,37,40.3,77.8,27.1,60.7,.447,10.7,28.1,.379,12.9,17.6,.730,7.8,23.1,30.9,15.5,5.8,2.1,10.8,18.9
569,Aykon TED Kolejliler Ankara,34,40.6,77.8,28.0,64.3,.436,8.7,25.2,.347,13.0,18.5,.703,10.4,24.3,34.7,17.4,5.6,1.5,12.6,19.6
570,Enisey Krasnoyarsk,38,40.0,77.8,26.7,63.4,.421,7.8,24.6,.316,16.7,22.6,.738,10.4,21.6,31.9,15.1,5.4,2.5,13.8,23.3
571,Uppsala Basket,28,40.0,77.8,27.8,62.7,.443,8.8,26.9,.328,13.5,19.1,.705,7.4,22.4,29.8,16.6,6.6,1.4,12.9,18.6
572,Nidaros Jets,27,40.3,77.8,30.2,67.6,.447,5.5,18.5,.296,11.9,17.8,.671,10.3,25.9,36.2,15.9,6.9,3.2,15.7,14.2
573,KK Lovcen Cetinje,12,40.0,77.8,28.0,62.7,.447,7.4,24.7,.301,14.3,21.8,.656,8.8,24.2,33.0,17.8,4.8,1.4,12.0,20.7
574,Vytautas Prienu,43,40.2,77.7,27.4,63.1,.435,10.1,29.6,.340,12.8,18.0,.712,9.1,21.6,30.7,18.4,7.0,2.1,14.0,19.0
575,KK Zabok,26,40.0,77.7,27.9,61.5,.454,7.5,24.5,.306,14.4,20.3,.708,8.7,21.2,29.8,18.6,9.0,2.3,14.0,20.9
576,Bandirma Kirmizi,37,39.9,77.7,29.2,66.5,.440,5.9,20.3,.289,13.3,20.0,.666,12.8,22.0,34.8,15.2,7.9,3.0,13.9,22.2
577,Kangoeroes Basket Willebroek,38,40.2,77.7,28.1,60.3,.465,9.0,24.1,.374,12.6,16.4,.770,5.9,22.6,28.4,13.9,4.9,1.7,12.5,19.3
578,VfL Kirchheim Knights,30,40.2,77.7,27.5,62.9,.437,7.3,22.5,.324,15.4,21.5,.715,9.3,24.2,33.4,18.2,5.9,1.7,12.2,19.5
579,BBC Coburg,28,40.1,77.7,27.6,62.5,.441,6.4,20.4,.315,16.0,21.5,.745,9.3,23.4,32.7,16.3,7.7,1.6,14.6,21.5
580,Atlante Eurobasket Roma,30,41.7,77.7,27.6,63.1,.437,9.0,27.2,.331,13.5,18.5,.727,7.1,23.3,30.4,15.9,6.4,1.1,11.1,22.6
581,BC Navarra,35,40.0,77.7,28.7,62.9,.456,7.8,23.1,.338,12.5,17.1,.728,9.6,23.1,32.6,13.0,6.8,1.6,12.7,20.0
582,Boca Juniors,43,40.5,77.7,28.1,63.6,.442,7.0,20.5,.340,14.4,19.3,.748,8.4,26.2,34.6,18.5,5.7,2.2,12.9,21.0
583,Atletico Argentino de Junin,42,40.4,77.6,28.5,63.5,.449,6.6,19.7,.338,13.9,19.8,.705,7.8,24.1,31.9,14.0,7.1,2.2,11.7,19.2
584,Boulazac Basket Dordogne,34,40.7,77.6,28.4,64.4,.441,8.2,24.2,.339,13.3,17.3,.769,8.4,22.7,31.1,16.7,5.9,2.0,11.9,19.6
585,Keravnos Strovolou,41,40.1,77.6,28.6,59.2,.483,7.4,19.5,.381,12.9,17.5,.740,7.5,24.9,32.4,19.0,7.4,1.6,13.0,20.0
586,Telstar Hesperange,12,40.0,77.6,28.8,65.8,.437,9.4,28.3,.333,10.7,15.4,.692,6.6,23.0,29.6,10.4,5.4,1.6,10.8,15.2
587,Maccabi Bazan Haifa,33,40.2,77.6,27.6,65.4,.422,7.2,23.8,.302,15.2,20.9,.728,9.7,23.1,32.8,15.5,9.1,3.2,13.4,21.4
588,UCAM Murcia CB,54,40.3,77.6,26.1,62.1,.420,8.3,24.5,.339,17.0,23.3,.731,10.7,22.9,33.5,13.6,6.5,2.4,12.3,22.6
589,Sixt Primorska,35,40.2,77.6,27.7,61.1,.453,9.7,27.9,.347,12.6,16.5,.764,8.6,23.2,31.8,18.1,6.8,1.9,13.3,21.4
590,Bilbao Basket,44,40.0,77.6,26.7,60.0,.445,9.2,26.1,.352,14.9,20.1,.741,7.7,20.5,28.2,14.8,5.9,1.8,12.7,22.7
591,Pully Basket,30,40.3,77.6,28.6,63.4,.452,6.4,19.0,.339,13.9,18.5,.751,8.7,21.8,30.5,14.6,8.0,2.7,13.2,20.3
592,CB Granada,30,40.0,77.6,28.9,62.6,.462,7.7,22.4,.345,12.0,17.4,.692,11.5,24.7,36.2,13.5,6.9,1.7,12.2,19.3
593,VSEMVS Karlovka Bratislava,39,40.0,77.5,28.5,65.0,.438,10.2,30.1,.338,10.6,15.0,.708,9.3,21.1,30.4,16.4,6.6,2.2,12.2,23.0
594,Parma-2,39,40.3,77.5,27.9,72.2,.387,6.5,23.6,.274,15.2,21.5,.710,13.3,22.6,35.9,18.2,10.2,1.7,13.5,17.1
595,Vendee Challans Basket,37,40.1,77.5,28.2,60.6,.465,7.6,21.5,.354,13.5,19.7,.687,7.6,23.4,31.1,15.2,6.5,1.5,14.0,19.9
596,Weber Bahia Estudiantes,41,40.2,77.5,28.7,63.4,.453,7.3,23.5,.311,12.9,17.3,.741,6.8,24.7,31.5,17.1,6.3,2.4,13.1,20.9
597,Toyama Grouses,63,40.1,77.5,29.9,68.0,.440,6.8,19.5,.349,10.9,15.2,.716,8.8,25.0,33.8,19.4,6.0,2.7,11.7,20.6
598,Stella Azzurra U18,8,40.0,77.5,29.5,66.5,.444,5.4,15.1,.355,13.1,19.4,.677,11.1,28.4,39.5,16.3,8.1,3.9,16.3,22.1
599,Caen Basket Calvados,34,40.3,77.5,29.7,63.4,.468,6.3,19.4,.326,12.1,18.0,.673,8.7,22.7,31.5,18.5,8.6,2.4,14.3,19.4
600,Tsmoki-Minsk (2),52,40.2,77.5,29.7,67.6,.439,6.0,20.0,.300,12.2,18.8,.648,9.9,26.6,36.5,18.9,9.9,2.1,15.6,18.3
601,KB Trepca Mitrovice,28,40.0,77.5,28.0,61.9,.453,7.9,25.2,.313,12.1,17.7,.685,8.0,24.1,32.0,16.6,7.3,1.1,13.6,18.4
602,GS Kymis,28,40.3,77.4,27.1,60.3,.449,8.6,23.3,.369,14.7,21.6,.680,9.6,23.4,33.0,15.0,6.9,3.4,14.1,22.9
603,BV Chemnitz 99,30,40.2,77.4,27.0,60.8,.444,8.4,23.8,.352,15.1,19.8,.762,8.5,24.5,33.0,18.0,6.1,1.8,14.8,21.4
604,Besiktas Icrypex,50,40.3,77.4,28.0,60.5,.463,9.1,23.9,.378,12.4,17.4,.712,8.3,21.7,29.9,17.9,7.1,3.2,11.5,19.3
605,GaGa Milano OrziBasket Orzinuovi,30,40.5,77.4,28.6,64.2,.446,7.1,21.3,.333,13.1,16.8,.778,7.9,23.4,31.3,13.4,5.3,2.1,13.1,18.1
606,KTE-Duna Aszfalt,38,40.1,77.4,28.6,63.6,.450,7.8,24.5,.319,12.3,17.5,.705,9.2,22.3,31.5,16.4,7.4,1.7,10.2,20.1
607,CEP Lorient,42,40.0,77.4,28.0,59.6,.469,7.3,20.6,.353,14.2,20.0,.708,8.7,23.5,32.3,19.5,7.0,2.2,14.9,16.9
608,Coosur Real Betis,34,40.1,77.3,28.5,62.9,.453,6.9,21.8,.319,13.4,18.3,.734,7.4,21.1,28.4,14.2,6.1,1.4,13.1,19.8
609,Enel Brindisi,30,40.5,77.2,28.9,64.6,.448,7.2,22.5,.319,12.2,17.7,.691,8.5,24.3,32.8,14.6,6.3,1.9,13.5,19.4
610,BK Decin,38,40.0,77.2,28.3,66.8,.424,7.9,25.2,.312,12.7,18.8,.677,10.6,24.6,35.2,16.8,5.7,1.6,12.1,21.6
611,Givova Scafati,35,40.3,77.2,27.6,61.5,.449,7.1,22.8,.312,14.8,21.6,.687,8.4,23.7,32.1,15.9,5.9,1.5,10.6,18.2
612,Barreirense-CEPSA,32,40.3,77.2,27.8,64.0,.435,5.9,20.0,.295,15.6,22.3,.697,8.9,21.5,30.4,12.6,6.3,1.1,12.9,19.1
613,Zlatorog,28,40.2,77.1,27.7,61.9,.447,8.3,22.6,.367,13.5,19.3,.700,10.0,21.3,31.3,15.8,7.6,1.6,13.3,23.1
614,Zeus Energy Group Rieti,30,40.5,77.1,26.9,60.8,.442,8.5,24.8,.345,14.9,19.8,.750,9.1,23.6,32.7,14.1,4.6,1.3,12.7,20.1
615,CSP Limoges,57,40.1,77.1,27.8,60.6,.458,7.6,20.8,.366,14.5,19.7,.736,9.1,21.6,30.7,17.3,5.9,1.8,12.5,20.0
616,CSKA Moscow U18,43,40.6,77.1,27.0,61.4,.439,5.7,18.0,.319,17.5,24.4,.715,11.1,28.1,39.2,16.7,7.7,5.4,18.3,20.3
617,Feyenoord Rotterdam,39,40.1,77.1,29.0,67.5,.429,7.7,24.9,.308,11.5,16.9,.680,9.0,26.8,35.8,13.3,6.3,1.9,14.2,18.2
618,MBK Handlova,39,39.5,77.1,27.6,61.6,.449,7.2,23.4,.306,14.7,18.7,.785,8.3,19.6,27.9,16.2,8.1,1.5,15.2,22.6
619,Kozuv Gevgelija,32,40.1,77.1,29.4,63.0,.467,6.2,21.6,.288,12.1,20.1,.603,9.7,24.8,34.5,18.0,7.4,1.9,15.3,20.8
620,KK Kakanj,30,38.8,77.0,27.5,61.3,.449,8.0,24.8,.323,13.9,20.8,.669,10.9,22.8,33.7,15.7,7.3,2.6,14.2,20.3
621,Grupa Sierleccy Czarni Slupsk,19,40.3,77.0,27.6,65.6,.421,8.2,25.0,.326,13.6,20.3,.670,9.5,25.3,34.8,15.2,6.4,1.4,13.5,19.0
622,Carpegna Prosciutto Basket Pesaro,30,40.3,77.0,28.0,64.6,.433,6.8,23.2,.295,14.2,19.5,.730,10.3,23.4,33.7,12.3,8.2,2.4,13.2,18.2
623,Royal Hali Gaziantep,44,40.7,77.0,27.5,61.6,.447,9.4,27.8,.337,12.6,17.2,.730,6.6,21.9,28.5,16.6,5.4,2.1,11.3,22.0
624,Louaize,29,40.3,77.0,29.2,69.4,.421,5.8,19.7,.293,12.8,19.2,.666,11.4,26.1,37.5,15.8,7.0,2.7,12.0,13.7
625,Rapla BS,50,40.2,77.0,28.1,62.7,.449,6.9,21.4,.322,13.8,19.6,.704,9.5,23.7,33.1,16.7,6.6,2.2,10.8,19.9
626,Orasi Ravenna,30,40.3,76.9,27.4,61.2,.448,7.3,19.6,.371,14.9,19.5,.762,7.8,25.2,33.0,11.3,6.3,2.3,12.0,19.8
627,ADA Blois Basket,34,40.3,76.9,29.0,62.6,.463,8.6,23.9,.362,11.0,16.4,.674,8.2,23.1,31.4,18.1,8.8,2.1,13.1,17.8
628,Fraport Skyliners,40,40.0,76.9,26.7,57.0,.469,8.9,23.2,.384,15.3,20.7,.737,7.4,21.3,28.7,15.7,6.9,2.5,13.9,21.5
629,MLP Academics Heidelberg,34,40.0,76.9,27.2,60.2,.452,7.6,21.8,.350,14.9,20.4,.728,8.9,20.1,29.0,17.3,7.6,2.7,12.4,20.2
630,Taurages,47,40.0,76.9,26.7,59.8,.446,6.5,19.5,.332,17.0,25.0,.680,9.7,23.4,33.1,15.8,8.4,1.0,15.5,21.3
631,Jaszberenyi KSE,32,40.2,76.8,28.9,63.4,.456,7.0,21.0,.334,11.9,16.0,.744,8.8,23.1,31.9,15.5,6.3,1.8,11.6,20.3
632,Thor AK Akureyri,22,40.2,76.8,28.3,71.2,.397,6.7,23.7,.282,13.5,20.0,.677,12.3,24.7,37.0,17.2,8.2,3.3,17.6,19.4
633,Grissin Bon Reggio Emilia,51,40.2,76.7,28.2,62.4,.453,7.0,21.5,.323,13.2,17.0,.779,8.2,21.4,29.6,15.8,7.5,2.2,12.0,21.1
634,AB Castello,38,40.5,76.7,28.6,65.3,.438,7.3,22.4,.325,12.1,16.6,.729,10.6,25.2,35.8,16.3,7.7,2.1,13.6,18.8
635,Politehnica CSS Unirea,30,40.0,76.6,29.5,64.7,.456,6.4,21.6,.297,11.2,17.2,.649,9.0,21.8,30.8,14.2,7.2,2.3,15.1,19.7
636,Bergamo Basket 2014,30,41.0,76.6,27.0,62.9,.430,9.3,26.7,.349,13.2,17.8,.743,7.9,25.5,33.4,12.5,5.8,2.1,13.7,19.5
637,Impuls-BGUIR,50,40.0,76.6,29.8,69.8,.427,5.0,18.7,.266,11.9,19.3,.619,13.9,26.9,40.8,17.0,10.3,2.8,20.4,18.2
638,Ilirija,32,40.5,76.6,27.4,64.3,.427,9.3,27.6,.336,12.4,17.7,.702,8.6,22.2,30.8,17.4,7.3,1.8,13.7,21.8
639,Mamak Belediye Ankara DSI,33,40.7,76.6,27.0,61.8,.438,8.2,24.8,.332,14.2,20.3,.700,8.3,24.5,32.8,16.7,4.7,1.6,11.6,20.6
640,Starwings Basket Regio Basel,27,40.1,76.6,28.1,60.7,.462,8.2,24.6,.333,12.2,16.9,.724,7.8,23.6,31.4,17.8,4.8,1.1,12.5,18.0
641,BK Spisska Rytieri,36,40.3,76.6,27.9,67.6,.414,7.5,28.1,.267,13.2,19.0,.692,10.2,23.4,33.5,14.3,6.0,2.3,15.7,21.8
642,KK Parnu,49,40.2,76.6,28.0,63.7,.440,6.1,19.2,.318,14.4,21.2,.680,9.5,23.5,33.0,17.3,7.4,1.8,13.4,22.4
643,Fos Sur Mer,40,40.4,76.6,28.8,60.3,.477,8.0,23.0,.349,11.4,16.2,.704,7.8,22.7,30.5,21.6,8.3,2.9,14.3,21.1
644,BC Budivelnik,32,40.1,76.5,27.4,61.1,.448,6.8,20.3,.333,15.0,20.0,.750,9.7,25.1,34.8,18.8,8.0,3.1,14.3,19.4
645,Legia Warszawa,32,40.2,76.5,28.1,65.0,.433,7.9,23.5,.336,12.4,18.3,.676,9.1,21.4,30.5,14.3,6.6,2.9,13.6,22.3
646,Chorale Roanne Basket,41,40.6,76.5,27.1,59.4,.457,7.5,21.5,.348,15.2,21.6,.703,7.6,26.0,33.6,17.2,7.1,2.0,13.7,19.6
647,Virtus Bologna U18,4,40.0,76.5,28.0,66.8,.419,9.0,27.8,.324,11.5,15.5,.742,12.5,23.0,35.5,15.0,10.3,1.0,20.3,21.8
648,Bucaneros,14,39.0,76.5,27.5,60.1,.458,6.5,20.2,.322,15.0,20.0,.750,8.7,22.9,31.6,12.5,6.5,2.7,14.1,22.4
649,Astana Tigers,24,40.8,76.5,25.5,61.6,.414,8.4,23.5,.356,17.1,25.3,.676,10.9,21.8,32.7,16.7,7.6,1.2,12.5,19.5
650,Valga Maks,49,40.0,76.5,26.5,64.3,.413,9.6,29.8,.321,13.9,19.4,.715,10.1,21.9,31.9,15.2,6.7,1.9,12.2,24.7
651,Guaiqueries,15,40.3,76.5,27.0,60.0,.450,8.3,24.3,.343,14.1,20.7,.684,9.0,21.8,30.8,15.7,6.1,1.7,13.1,19.7
652,KFUM Nassjo Basket,28,40.5,76.5,28.2,65.3,.432,8.5,23.9,.357,11.5,15.3,.752,9.1,20.5,29.6,13.9,7.0,1.4,13.7,22.3
653,CP La Roda,33,40.3,76.4,27.1,64.4,.421,8.9,28.4,.314,13.3,18.1,.738,9.7,24.5,34.2,16.3,8.2,2.6,11.8,16.5
654,Stevnsgade Supermen,24,40.2,76.4,27.0,64.8,.416,8.3,25.7,.321,14.2,20.8,.681,9.1,22.8,31.9,16.2,6.2,1.6,14.5,17.4
655,Cuxhaven Bascats,28,40.3,76.4,27.1,63.9,.425,6.9,21.5,.319,15.3,21.3,.715,8.8,24.2,33.0,15.2,8.0,2.8,16.1,20.3
656,Mogi das Cruzes,46,40.0,76.4,27.2,62.5,.436,9.5,28.0,.339,12.4,17.3,.719,8.6,24.5,33.1,17.1,7.3,1.8,12.0,18.8
657,KK Cibona U18,8,40.1,76.4,30.4,67.3,.452,6.1,17.9,.343,9.5,13.1,.724,9.8,20.4,30.1,18.6,9.9,4.0,17.3,20.9
658,Universo/Vitoria Salvador,35,40.4,76.3,26.5,65.8,.403,8.0,24.5,.326,15.3,19.7,.776,9.1,26.2,35.3,16.6,7.8,1.8,14.2,20.5
659,BCM Gravelines,34,40.7,76.3,29.2,63.7,.459,8.5,25.1,.339,9.3,14.4,.648,8.2,22.6,30.9,18.4,6.8,3.9,12.4,19.6
660,Novipiu Casale Monferrato,44,40.5,76.3,28.5,64.7,.441,8.8,25.7,.344,10.3,13.9,.742,9.9,24.2,34.1,17.7,6.6,2.5,11.7,19.9
661,Batumi-RSU,35,40.4,76.2,27.6,66.4,.416,7.6,25.1,.304,13.4,19.0,.705,11.6,26.5,38.1,16.3,7.5,2.4,14.5,19.5
662,KK Sloga,26,40.0,76.2,27.0,63.2,.427,8.0,24.5,.325,14.3,21.3,.671,8.0,21.8,29.8,16.3,6.4,1.6,15.1,19.2
663,TKS 49ers RSV Eintracht Stahnsdorf,28,40.1,76.1,26.5,63.3,.418,8.9,26.7,.332,14.4,19.9,.722,9.8,22.9,32.6,15.9,6.8,1.4,14.7,23.0
664,Istanbulspor,37,39.6,76.1,27.5,62.1,.443,8.1,25.0,.324,13.1,19.0,.688,9.1,23.0,32.0,15.7,6.4,1.6,11.3,17.8
665,Andrea Costa Imola,30,40.0,76.1,26.1,60.5,.432,9.7,27.9,.346,14.3,18.5,.771,7.2,23.7,30.9,14.0,6.1,1.4,12.0,19.6
666,Mazeikiai,47,40.0,76.1,27.9,60.1,.464,6.9,22.2,.310,13.5,18.5,.728,8.4,24.6,32.9,17.2,7.1,1.7,16.7,19.7
667,Fortituto Kontatto Bologna,41,40.2,76.1,27.5,61.8,.445,7.1,21.6,.327,14.0,19.8,.711,8.9,24.9,33.8,15.1,6.4,2.6,12.2,20.1
668,EN Baskets Schwelm,24,40.2,76.0,26.4,62.6,.422,8.7,25.2,.346,14.5,20.9,.693,9.2,24.4,33.5,17.0,6.5,1.8,14.6,20.0
669,Usak Sportlif,30,40.2,76.0,26.6,58.7,.452,7.8,22.2,.351,15.1,22.0,.684,8.4,21.3,29.8,18.0,6.2,1.6,13.5,20.5
670,Zemsania CB L'Hospitalet,4,40.0,76.0,30.0,73.5,.408,5.8,20.5,.280,10.3,15.3,.672,11.5,19.5,31.0,17.5,15.3,1.5,19.5,22.5
671,Etoile Charleville-Mezieres,34,40.4,76.0,28.6,65.5,.436,8.0,24.6,.325,11.3,15.2,.741,9.3,21.8,31.0,15.6,6.0,1.8,12.5,17.4
672,Quimper UJAP,34,40.9,76.0,26.9,60.9,.442,8.3,24.3,.343,14.3,18.6,.769,7.8,20.7,28.5,18.7,7.0,1.9,14.4,20.6
673,Naturtex-SZTE-Szedeak,34,40.0,76.0,28.1,61.8,.456,6.9,21.8,.314,12.8,18.5,.693,8.3,22.6,30.9,17.4,7.9,1.9,12.0,21.1
674,Terceira Basket,32,40.0,76.0,27.5,61.8,.445,7.9,24.7,.320,13.1,18.5,.709,10.4,22.7,33.1,13.5,8.4,2.1,15.7,17.9
675,Yokohama B-Corsairs,63,40.2,76.0,28.7,64.7,.443,5.3,16.8,.319,13.2,19.2,.688,9.3,23.5,32.8,19.9,7.2,3.6,13.1,19.1
676,Bipa Basket Odessa,30,40.2,76.0,27.8,64.1,.434,6.0,20.8,.287,14.3,21.7,.662,10.9,23.2,34.0,18.0,8.0,2.1,14.7,23.8
677,US Heffingen,29,40.1,76.0,27.5,65.5,.420,8.2,25.9,.317,12.7,18.7,.682,9.2,23.7,32.9,11.0,6.9,1.2,14.3,20.5
678,Salta Basket,38,40.1,75.9,26.7,60.7,.440,8.2,25.6,.319,14.3,18.9,.758,6.9,23.9,30.8,15.0,6.6,1.6,11.9,20.1
679,BC Orchies,34,40.0,75.9,28.3,63.4,.446,5.8,18.8,.310,13.5,19.7,.685,9.8,23.2,33.0,18.0,7.9,1.1,14.1,19.9
680,Kerasan Prishtina,27,39.9,75.9,28.0,68.0,.411,8.3,28.0,.295,11.0,18.1,.605,9.6,22.8,32.4,16.0,7.8,1.1,18.4,17.1
681,Pallacanestro Generale Mantovana,30,40.5,75.9,25.3,61.4,.412,8.5,26.3,.323,16.7,22.2,.752,9.9,25.3,35.2,14.2,5.0,2.4,12.8,20.1
682,Plasencia Extremadura,30,40.3,75.9,27.5,63.8,.431,8.8,23.9,.367,12.1,18.1,.667,10.0,23.8,33.8,14.8,5.9,1.5,12.7,20.0
683,Grupo Eleyco Baskonia,30,40.2,75.9,28.1,62.7,.449,8.6,24.1,.356,11.0,17.4,.632,8.4,23.8,32.3,14.5,7.1,2.8,13.9,20.1
684,FC Schalke 04,30,40.5,75.9,26.1,64.6,.404,5.8,20.7,.281,17.9,24.7,.726,10.6,25.8,36.4,13.3,7.0,2.4,12.2,19.3
685,SK Tirana,14,40.4,75.9,28.6,61.2,.468,5.3,19.9,.266,13.3,18.4,.724,8.4,21.6,30.0,16.5,5.7,1.4,14.6,18.3
686,CB Moron,33,40.2,75.8,28.7,61.8,.464,8.0,23.5,.340,10.5,15.3,.687,8.1,22.8,31.0,13.8,6.9,1.7,11.8,19.8
687,Erdgas Ehingen,30,40.3,75.8,27.1,59.1,.459,7.2,19.5,.372,14.4,19.4,.739,7.9,22.4,30.4,21.1,6.8,2.3,15.5,19.3
688,KK Jazine,24,40.0,75.8,26.7,60.0,.445,9.3,26.3,.352,13.1,20.6,.638,7.7,20.9,28.6,17.6,5.8,1.0,15.8,19.1
689,Sakarya Buyuksehir Basketbol,33,40.0,75.8,27.3,59.2,.461,6.4,18.2,.354,14.8,21.9,.673,9.8,22.1,31.9,15.5,6.1,2.9,12.9,21.8
690,FC Barcelona II,34,40.1,75.7,27.4,64.5,.425,7.1,22.7,.315,13.8,19.4,.711,10.4,24.2,34.6,13.6,7.0,2.9,12.8,17.4
691,Caceres CB,34,40.3,75.7,26.8,59.6,.450,9.4,24.6,.379,12.7,16.5,.773,7.9,22.3,30.1,15.1,7.7,1.7,13.7,18.2
692,CB Coruna,39,40.1,75.7,27.1,63.4,.427,9.1,25.4,.358,12.5,16.4,.763,8.5,22.3,30.9,15.7,6.2,2.7,10.9,19.8
693,Le Portel,52,40.1,75.7,28.9,62.8,.460,6.8,19.2,.352,11.3,16.3,.694,9.7,25.0,34.7,18.8,6.4,1.8,12.7,18.7
694,Duzce Belediye,34,40.1,75.7,27.8,61.1,.456,8.3,23.2,.357,11.8,16.8,.702,7.9,23.3,31.2,17.4,6.6,1.4,11.7,17.7
695,OKK Beograd,25,40.0,75.7,27.5,60.2,.457,6.3,20.4,.307,14.4,21.0,.688,6.7,23.0,29.7,17.0,7.4,1.7,14.4,21.5
696,HR Portoviejo,3,40.0,75.7,26.3,73.3,.359,5.7,24.0,.236,17.3,27.7,.627,9.7,29.3,39.0,14.7,7.3,3.3,13.3,21.0
697,Tallinna Ulikool/Kalev,45,40.1,75.6,27.0,63.0,.429,7.2,23.2,.311,14.4,19.6,.735,8.8,24.3,33.1,15.2,7.3,3.2,14.1,21.1
698,OKK Spars Sarajevo,36,38.7,75.6,27.7,59.7,.464,7.4,22.0,.338,12.8,18.1,.704,8.1,24.7,32.8,15.9,6.2,0.8,13.2,21.9
699,Avantazh-Politekhnik Kharkov,30,40.2,75.6,26.5,67.5,.392,6.7,24.1,.277,16.0,21.4,.745,11.5,22.6,34.1,16.0,7.2,2.0,16.1,18.9
700,KB Peja,27,40.1,75.6,27.0,65.5,.412,6.4,24.9,.257,14.7,20.5,.715,11.5,24.9,36.4,18.5,6.8,1.6,16.6,17.5
701,Dzukija,36,40.0,75.6,27.8,61.8,.450,7.0,19.3,.364,12.9,17.8,.724,8.5,23.5,32.0,17.7,6.0,2.0,14.2,22.3
702,Georgio Tesi Group Pistoia,30,40.2,75.6,27.8,66.1,.421,8.7,25.6,.341,11.2,16.3,.684,10.7,23.9,34.6,14.5,5.7,1.4,13.5,22.2
703,Oviedo CB,39,40.0,75.6,27.4,60.1,.455,8.0,23.3,.343,12.9,19.6,.656,9.0,23.1,32.1,13.7,6.6,2.6,11.3,20.5
704,Sencur Gorenjska Gradbena Druzba Kranj,32,40.3,75.6,27.4,61.8,.444,6.9,22.4,.309,13.8,19.8,.701,9.6,22.2,31.7,17.3,7.3,1.8,12.5,19.9
705,Real Canoe NC,43,40.2,75.5,28.3,63.0,.449,7.1,21.9,.323,12.0,18.1,.661,10.0,24.3,34.3,12.4,6.6,2.4,13.2,16.7
706,Union Olimpija U18,4,40.0,75.5,30.3,67.3,.450,6.8,17.0,.397,8.3,12.5,.660,11.0,18.5,29.5,16.8,8.8,1.3,17.8,19.8
707,ETB Wohnbau Baskets Essen,27,40.4,75.5,27.4,62.9,.436,6.6,21.1,.311,14.0,20.1,.697,8.7,23.2,31.9,17.2,8.4,2.5,15.7,21.6
708,BiG Oettinger Rockets Gotha,34,40.0,75.5,25.7,58.3,.441,8.2,23.2,.352,15.9,20.8,.763,7.2,21.4,28.6,15.9,6.1,1.7,14.6,23.2
709,MAFC Budapest,34,40.3,75.4,27.3,62.0,.440,7.2,23.6,.306,13.6,19.1,.712,6.6,23.6,30.3,17.2,6.6,1.8,11.9,21.0
710,Hebeisen White Wings Hanau,33,40.4,75.4,26.9,62.3,.432,8.0,22.6,.353,13.6,18.4,.737,7.6,22.5,30.1,16.0,7.7,1.3,12.2,18.9
711,Cambados Xuven,30,40.3,75.4,28.4,65.6,.433,7.5,23.8,.314,11.1,16.4,.677,10.5,24.7,35.2,13.8,6.6,2.1,12.6,18.4
712,CB L'Hospitalet,34,40.3,75.4,27.8,62.4,.446,7.7,23.1,.333,12.1,17.9,.674,9.3,23.6,32.9,13.4,6.8,2.1,12.9,20.0
