#,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
,,,,,,,,,,,,,,,,,,,,,
342,Benacquista Assicurazioni Latina Basket,30,40.3,81.6,29.7,63.4,.468,7.3,22.9,.318,15.0,19.2,.778,8.1,23.8,31.8,17.2,6.0,1.7,12.5,18.1
343,GTK Gliwice,31,40.2,81.5,30.7,66.3,.463,7.7,22.9,.336,12.5,17.2,.725,8.2,21.9,30.1,18.8,6.6,1.6,11.6,22.0
344,BC VEF Riga,59,40.2,81.5,29.2,64.2,.456,9.8,26.7,.368,13.3,19.0,.697,10.1,24.7,34.7,19.3,6.7,3.1,12.7,22.2
345,Ciclista Olimpico,43,40.5,81.5,29.6,64.3,.460,7.5,21.5,.351,14.8,22.1,.668,9.0,27.0,36.0,18.6,5.8,3.8,13.8,18.8
346,San Martin Corrientes,60,40.5,81.5,29.8,63.9,.467,7.5,21.7,.344,14.5,19.8,.732,7.2,26.4,33.6,17.1,7.7,2.6,12.0,19.3
347,Steaua CSM EximBank Bucuresti,48,40.2,81.5,28.6,58.5,.489,8.4,22.8,.368,15.8,20.8,.763,8.8,22.5,31.2,17.3,7.3,2.3,14.2,23.4
348,BK Klosterneuburg Dukes,35,40.9,81.5,29.8,65.5,.455,8.6,26.6,.324,13.3,19.0,.697,9.8,22.9,32.7,18.0,5.3,2.4,12.7,21.8
349,Rustavi,41,40.2,81.5,29.0,69.3,.419,10.2,29.2,.348,13.2,18.6,.712,11.4,23.4,34.8,18.2,10.5,1.4,13.8,19.7
350,HydroTruck Radom,51,40.4,81.5,29.5,64.0,.461,8.2,23.9,.343,14.3,18.9,.757,8.5,24.3,32.7,16.4,6.6,2.7,11.9,19.0
351,AEK Athens,48,40.2,81.5,27.7,61.3,.451,7.0,21.5,.325,19.1,25.4,.754,8.7,23.5,32.3,16.0,7.2,3.0,11.5,20.9
352,Unicaja Malaga U18,4,40.0,81.5,30.8,72.0,.427,4.0,15.5,.258,16.0,23.0,.696,13.8,25.5,39.3,15.3,6.5,4.0,14.3,20.3
353,Ironi Nahariya,33,40.0,81.5,30.0,64.8,.462,8.3,22.5,.370,13.2,18.0,.736,8.4,23.3,31.7,16.0,8.6,2.9,13.0,22.1
354,Asseco Arka Gdynia,32,40.8,81.5,28.1,62.9,.446,10.3,29.9,.343,15.1,23.0,.655,6.1,27.7,33.8,17.9,5.2,3.1,12.1,22.9
355,BC Boncourt Red Team,30,40.4,81.5,28.9,62.4,.463,7.1,19.9,.355,16.6,22.3,.743,9.2,26.0,35.2,11.0,5.0,2.4,12.2,16.6
356,SC Itzehoe Eagles,24,40.0,81.5,27.8,65.1,.427,6.7,21.3,.313,19.1,26.0,.736,10.9,25.7,36.6,17.5,6.3,3.6,16.0,20.9
357,Olympiacos,70,40.4,81.4,27.9,60.3,.463,8.8,24.7,.358,16.7,22.4,.747,9.1,25.4,34.5,18.1,5.5,2.3,12.0,21.1
358,Iraklis BC,32,40.4,81.4,29.3,63.5,.462,7.1,21.4,.331,15.7,22.0,.713,11.4,26.5,37.9,18.6,7.5,1.6,11.7,21.9
359,Bauru,45,40.0,81.4,28.4,60.1,.472,9.7,26.5,.366,15.0,19.9,.752,7.1,25.4,32.4,16.7,6.0,2.2,12.2,21.6
360,Cariduros de Fajardo,22,40.4,81.4,30.4,70.9,.429,8.4,25.6,.329,12.2,16.5,.738,10.1,25.1,35.3,18.1,6.1,2.7,10.4,19.1
361,Arkadia Traiskirchen Lions,35,40.3,81.4,30.4,62.5,.487,7.3,21.0,.350,13.3,17.6,.753,8.6,20.4,29.0,20.0,8.3,1.5,11.5,20.8
362,ASVEL Basket,55,40.6,81.4,29.3,61.7,.475,9.5,24.2,.395,13.3,17.3,.767,8.3,22.2,30.5,17.7,5.9,2.7,11.8,19.0
363,Lietuvos Rytas II,8,40.0,81.4,28.1,61.5,.457,6.6,21.4,.310,18.5,26.6,.695,11.3,26.1,37.4,17.5,11.5,5.0,16.6,19.8
364,Krka Novo Mesto,40,40.5,81.4,28.3,60.6,.467,8.5,23.8,.358,16.3,22.4,.727,8.9,24.1,33.0,17.7,6.9,2.3,13.9,24.8
365,Khimki,63,40.1,81.3,28.1,60.6,.464,10.0,27.5,.365,15.1,20.4,.739,8.4,21.5,30.0,18.6,6.9,3.4,12.0,22.6
366,Samara-2,39,40.0,81.3,31.2,72.1,.432,6.2,21.4,.289,12.8,20.5,.625,14.5,28.3,42.8,16.5,9.3,2.6,16.0,18.5
367,Jamtland Basket,31,40.3,81.3,30.8,67.9,.453,8.9,26.5,.337,10.8,14.5,.747,8.7,23.5,32.2,17.7,6.4,2.9,11.4,21.5
368,Illiabum Clube,35,40.1,81.3,29.0,63.0,.460,6.9,21.2,.326,16.4,23.5,.697,9.4,20.5,29.9,15.0,7.3,1.6,13.5,21.1
369,JDA Dijon Basket,36,40.1,81.3,30.3,62.0,.488,7.9,23.3,.340,13.0,17.9,.727,7.2,19.1,26.2,18.6,8.3,2.4,10.7,18.4
370,KK Partizan U18,8,40.6,81.3,29.0,66.6,.435,5.4,18.1,.297,17.9,23.5,.761,11.5,24.8,36.3,16.6,7.4,2.5,15.5,20.6
371,KK Mladost Admiral Zemun,35,40.1,81.2,29.6,63.8,.464,8.1,24.0,.336,14.0,20.1,.695,8.3,24.7,33.0,19.4,6.8,2.3,17.7,23.3
372,Les Lions de Geneve,39,40.1,81.2,29.8,60.9,.489,8.7,23.0,.378,12.8,18.6,.691,8.6,23.8,32.4,18.9,6.5,2.3,12.3,18.9
373,BM Slam Stal Ostrow WLKP,46,40.3,81.2,29.2,61.1,.477,8.4,23.6,.355,14.5,21.1,.687,7.7,25.2,32.9,18.7,6.1,2.9,12.5,21.4
374,Racing Lux,30,40.0,81.1,31.1,67.8,.459,7.1,23.4,.302,11.8,16.7,.705,8.9,30.8,39.6,15.0,4.9,2.5,13.8,17.2
375,Comunicaciones Mercedes,38,40.5,81.1,29.8,65.0,.458,6.9,21.5,.323,14.7,20.1,.730,7.4,25.3,32.7,18.8,6.8,1.6,13.6,19.7
376,Ratiopharm Ulm,46,40.1,81.1,28.3,59.7,.474,8.7,23.1,.376,15.8,20.3,.780,6.8,21.9,28.7,16.8,5.3,1.9,12.3,20.5
377,Proximus Spirou Charleroi,48,40.2,81.1,29.3,63.7,.460,7.6,23.1,.329,14.9,20.8,.719,8.7,23.9,32.6,18.6,8.2,2.6,12.0,21.9
378,Jurmala/Fenikss,55,40.3,81.1,28.2,65.5,.431,9.0,25.3,.355,15.7,22.4,.701,11.8,22.7,34.5,16.6,10.4,2.7,13.7,23.7
379,Strasbourg IG,60,40.5,81.1,30.6,62.9,.487,7.5,20.6,.361,12.8,17.8,.719,9.1,23.1,32.1,18.7,7.8,2.4,12.4,19.8
380,Svendborg Rabbits,24,40.8,81.1,30.2,66.2,.456,7.4,21.4,.345,13.4,18.1,.738,7.3,23.7,31.0,17.7,6.0,2.9,15.0,21.8
381,Buducnost,63,40.1,81.1,27.5,59.3,.463,9.1,25.0,.363,17.0,22.8,.746,7.5,23.1,30.6,15.1,7.0,2.3,11.0,21.0
382,Rouen Metropole Basket,39,40.5,81.1,30.2,66.4,.454,7.6,22.9,.333,13.7,18.5,.741,9.4,22.0,31.5,17.2,7.5,2.4,12.9,19.9
383,Telekom Baskets Bonn,53,40.3,81.0,28.3,60.5,.467,9.6,25.9,.370,14.9,20.9,.715,8.1,22.8,30.8,16.3,7.0,2.9,12.4,19.9
384,Taranaki Mountain Airs,12,39.7,81.0,29.3,68.6,.428,8.8,23.6,.371,13.6,19.7,.691,9.9,27.4,37.3,17.2,5.8,3.3,13.1,17.0
385,KK Mornar,59,40.2,81.0,28.2,61.8,.456,8.9,24.9,.356,15.7,22.4,.701,10.2,23.2,33.4,14.8,5.5,3.1,12.5,21.8
386,Chalons-Reims CB,34,40.0,81.0,29.4,64.1,.459,7.1,21.2,.336,15.9,20.6,.772,8.7,22.0,30.7,16.4,6.9,2.4,13.1,19.6
387,Norrkoping,40,40.5,81.0,29.2,59.6,.489,7.8,21.7,.361,14.8,18.9,.782,7.0,24.3,31.2,14.8,5.8,3.3,13.3,21.9
388,Nigata Albirex,60,40.2,81.0,29.4,64.1,.458,7.8,22.8,.341,14.4,18.4,.787,8.3,24.8,33.1,16.2,5.2,2.2,11.0,18.0
389,Reale Mutua Torino,30,40.2,80.9,29.2,64.1,.455,8.5,25.1,.339,14.1,19.6,.716,9.2,24.4,33.6,13.0,4.9,1.4,12.8,19.2
390,Mitteldeutscher BC,34,40.6,80.8,28.3,62.8,.451,8.7,24.7,.352,15.5,18.5,.835,6.9,21.9,28.8,16.4,5.6,2.6,11.5,22.2
391,Parma Basket Perm,28,40.4,80.8,29.0,65.5,.444,9.3,27.3,.339,13.5,18.3,.737,9.0,21.9,30.9,18.1,7.0,1.9,12.8,22.5
392,Polpharma Starogard Gdanski,31,40.2,80.8,28.0,59.7,.469,6.9,20.7,.333,17.8,22.8,.781,7.6,22.8,30.4,17.1,6.6,3.0,14.5,21.7
393,Quimsa,46,40.0,80.8,29.3,62.3,.471,8.6,25.0,.344,13.5,18.1,.747,6.7,25.4,32.1,17.5,6.6,2.7,12.3,20.5
394,Ferrocarril Oeste Capital Federal,44,40.6,80.8,29.8,62.5,.477,7.0,20.7,.341,14.0,18.3,.767,6.8,24.3,31.1,15.8,7.1,1.3,13.4,21.0
395,Rostock Seawolves,31,40.9,80.7,28.5,63.5,.448,6.9,20.7,.334,16.9,23.8,.711,8.6,24.3,33.0,15.7,8.4,2.3,12.2,19.5
396,Acunsa GBC,34,40.1,80.6,29.8,66.2,.449,7.6,23.9,.320,13.5,18.7,.719,10.7,22.9,33.6,15.9,6.6,2.3,13.9,21.4
